QUAL	errors	total	qv	p	type	species
38	1720508	887101674	40.3413	9.24E-05	a	bTaeGut1
39	1731860	887101076	40.3128	9.31E-05	a	bTaeGut1
40	1742575	887100455	40.2859	9.36E-05	a	bTaeGut1
41	1752132	887100035	40.2622	9.41E-05	a	bTaeGut1
42	1762864	887099552	40.2356	9.47E-05	a	bTaeGut1
43	1772910	887098940	40.2109	9.53E-05	a	bTaeGut1
44	1785319	887098369	40.1806	9.59E-05	a	bTaeGut1
45	1797003	887097846	40.1522	9.66E-05	a	bTaeGut1
46	1807890	887097435	40.126	9.71E-05	a	bTaeGut1
47	1819960	887096916	40.097	9.78E-05	a	bTaeGut1
48	1831160	887096312	40.0704	9.84E-05	a	bTaeGut1
49	1842701	887095794	40.043	9.90E-05	a	bTaeGut1
50	1853909	887095271	40.0167	9.96E-05	a	bTaeGut1
51	1865715	887094739	39.9891	1.00E-04	a	bTaeGut1
52	1878512	887094274	39.9594	1.01E-04	a	bTaeGut1
53	1890475	887093764	39.9318	1.02E-04	a	bTaeGut1
54	1902627	887093318	39.9039	1.02E-04	a	bTaeGut1
55	1913216	887092840	39.8798	1.03E-04	a	bTaeGut1
56	1925167	887092275	39.8527	0.00010345	a	bTaeGut1
57	1936993	887091896	39.8261	0.000104086	a	bTaeGut1
58	1948804	887091277	39.7996	0.000104721	a	bTaeGut1
59	1960328	887090541	39.774	0.000105341	a	bTaeGut1
60	1971323	887089738	39.7497	0.000105933	a	bTaeGut1
61	1982881	887089190	39.7243	0.000106555	a	bTaeGut1
62	1995166	887088682	39.6974	0.000107216	a	bTaeGut1
63	2006759	887087824	39.6722	0.000107839	a	bTaeGut1
64	2018212	887087530	39.6475	0.000108456	a	bTaeGut1
65	2030723	887086903	39.6206	0.000109129	a	bTaeGut1
66	2042925	887086373	39.5946	0.000109785	a	bTaeGut1
67	2055097	887085822	39.5687	0.00011044	a	bTaeGut1
68	2067038	887085408	39.5435	0.000111083	a	bTaeGut1
69	2079443	887084467	39.5175	0.00011175	a	bTaeGut1
70	2091712	887084055	39.4919	0.00011241	a	bTaeGut1
71	2102918	887083856	39.4687	0.000113013	a	bTaeGut1
72	2115392	887083377	39.443	0.000113684	a	bTaeGut1
73	2127548	887082526	39.4181	0.000114339	a	bTaeGut1
74	2140311	887082143	39.3921	0.000115025	a	bTaeGut1
75	2151954	887081752	39.3685	0.000115652	a	bTaeGut1
76	2164974	887081780	39.3423	0.000116352	a	bTaeGut1
77	2177151	887081241	39.3179	0.000117008	a	bTaeGut1
78	2188735	887080962	39.2948	0.000117631	a	bTaeGut1
79	2201626	887079945	39.2692	0.000118325	a	bTaeGut1
80	2214483	887079207	39.2439	0.000119017	a	bTaeGut1
81	2226501	887078685	39.2204	0.000119663	a	bTaeGut1
82	2239223	887078260	39.1956	0.000120348	a	bTaeGut1
83	2251425	887077901	39.172	0.000121005	a	bTaeGut1
84	2263377	887077380	39.149	0.000121648	a	bTaeGut1
85	2275249	887077063	39.1262	0.000122287	a	bTaeGut1
86	2287524	887076661	39.1028	0.000122947	a	bTaeGut1
87	2299869	887076175	39.0794	0.000123612	a	bTaeGut1
88	2312255	887075719	39.056	0.000124278	a	bTaeGut1
89	2324243	887075403	39.0336	0.000124924	a	bTaeGut1
90	2336162	887074611	39.0113	0.000125565	a	bTaeGut1
91	2349035	887074109	38.9874	0.000126258	a	bTaeGut1
92	2360621	887073869	38.966	0.000126881	a	bTaeGut1
93	2373409	887073486	38.9425	0.00012757	a	bTaeGut1
